Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Tags
Total Access & Mobility Incorporated,totalaccessco.com,Accessible Architecture and Design,"West Chester, Pennsylvania, United States",11-50,https://www.linkedin.com/company/total-access-%26-mobility-incorporated,Savaria Corporation is an elevator solutions service provider partnered with Symmetry Elevating Solutions to offer affordable services while maintaining Nationwide best-practices.,partnership,""
Innovacron,innovacron.co,Accessible Architecture and Design,"Medellín, Colombia",11-50,https://www.linkedin.com/company/innovacron,Innovacron is a construction company that offers innovative prefabricated products and integral architectural solutions.,privately held,""
OPHIR | Arquitetura e Design,ophir.arq.br,Accessible Architecture and Design,"Maringá, Brazil",1-10,https://www.linkedin.com/company/ophir-arquitetura-e-design,,privately held,""
Seven Chelipa,sevenchelipa.com,Accessible Architecture and Design,Netherlands,1-10,https://www.linkedin.com/company/seven-chelipa,"Seven Chelipa is revolutionizing the AEC industry with cutting-edge Building Information Modeling (BIM) technology that streamlines the design, construction, and operation of buildings and infrastructure projects.",self employed,""
Seven stoas,sevenstoas.com,Accessible Architecture and Design,"Tehran, Iran",1-10,https://www.linkedin.com/company/sevenstoas,,self employed,""
Sanina Arch Club,saninaarch.club,Accessible Architecture and Design,"Lviv, Ukraine",11-50,https://www.linkedin.com/company/sanina-arch-club,"We are creating holistic, harmonious experiences for people seeking a slower-paced lifestyle. Hospitality design and architecture",public company,""
HOUSE,ihouse.vn,Accessible Architecture and Design,,11-50,https://www.linkedin.com/company/i-house-architecture-construction,,privately held,""
CS Architects,csarchitects.co.in,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/cs-architects,"CS Architect is an architectural design firm that specializes in creating attractive and functional designs for houses, buildings, and other structures.",partnership,""
Lead Architects,leadarchitects.co.za,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/lead-architects-pty-ltd,Lead Architects is an architecture firm that specializes in designing humane environments and sustainable architecture.,privately held,""
"Quanzhou Yibo Stone Industry Co., Ltd.",yibostone.com,Accessible Architecture and Design,"Guangzhou, China",501-1000,https://www.linkedin.com/company/qystone,,privately held,""
Bastião,bastiao.arq.br,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/bastiao-l-arquitetura-carioca,Bastião is a architecture and design studio that focuses on regional projects inspired by the Carioca lifestyle in Rio de Janeiro.,privately held,""
24interiordesigner,24interiordesigner.com,Accessible Architecture and Design,"Aix-les-Bains, France",1-10,https://www.linkedin.com/company/24interiordesigner,,self employed,""
Scarpatti,scarpatti.com.ar,Accessible Architecture and Design,"Córdoba, Argentina",11-50,https://www.linkedin.com/company/scarpatti-amoblamientos,"Scarpatti is a company specialized in the sale of corporate furniture, creating workspaces with top-quality standards and design in the market.",privately held,""
Sood Studio,sood-studio.com,Accessible Architecture and Design,"Ljubljana, Slovenia",1-10,https://www.linkedin.com/company/sood-studio,"Sood Studio is a design studio that creates intelligent, thoughtful, and enduring designs using natural materials and unique forms.",public company,""
A2ID-design,a2id-design.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/a2id-design,,privately held,""
HIIIDE™,hiiide.ch,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/hiiideliving,,self owned,""
Ruum und Sinne,ruumundsinne.de,Accessible Architecture and Design,"Halle, Germany",1-10,https://www.linkedin.com/company/ruumundsinne,,partnership,""
Manuel Pizarro Megías,manuelpizarro.es,Accessible Architecture and Design,Grenada,1-10,https://www.linkedin.com/company/manuelpizarro,,self employed,""
ETERIOEG,eterioeg.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/eterio-eg,,privately held,""
Rveo,rveo.cl,Accessible Architecture and Design,Philippines,11-50,https://www.linkedin.com/company/rveo,"Rveo is a design and construction company that focuses on developing residential and commercial spaces, as well as custom-made furniture.",self employed,""
Access Cottage Life,accesscottagelife.com,Accessible Architecture and Design,"Toronto, Canada",1-10,https://www.linkedin.com/company/access-cottage-life,Access Cottage Life is a hospitality company that offers a visually captivating wheelchair-accessible cottage rental to create an inclusive environment for friends and family.,privately held,""
Ubuntu Projects,ubuntuprojects.pe,Accessible Architecture and Design,"Lima, Peru",1-10,https://www.linkedin.com/company/ubuntu-projects,,self owned,""
Maison Giorgetti,maisongiorgetti.com,Accessible Architecture and Design,"La Wantzenau, France",1-10,https://www.linkedin.com/company/maison-giorgetti,Maison Giorgetti is an interior design company that focuses on creating functional interiors with a special emphasis on material selection.,self employed,""
Leon  Architecture & Design,leonayd.com,Accessible Architecture and Design,"Yopal, Colombia",1-10,https://www.linkedin.com/company/leonarchitectureanddesign,Leon Architecture & Design is an architecture and design firm that specializes in transforming design concepts into precise models and captivating visuals through 3D modeling and photorealistic rendering.,self owned,""
BONITA COMPANY,bonitacompany.com,Accessible Architecture and Design,"Azcapotzalco, Mexico",1-10,https://www.linkedin.com/company/bonitacompany,BONITA COMPANY is a Home Decor company that specializes in manufacturing and sourcing decorative materials to bring uniqueness to every space.,privately held,""
KUL3D-INTERIORS,kul3dinteriors.com,Accessible Architecture and Design,"Mumbai, India",1-10,https://www.linkedin.com/company/kul3d-interiors,"4K HIGH RESOLUTION RENDERS Higher level of detail: 4K resolution provides a much higher level of detail compared to lower resolutions, making it ideal for showcasing products, architecture, or other high-quality visuals. Colour Corrections Color correction can be done using specialized software such as Adobe Photoshop, Adobe Lightroom. The process involves making adjustments to the…",privately held,""
JMG AMO,jmgamo.com,Accessible Architecture and Design,"Calais, France",1-10,https://www.linkedin.com/company/fr-jmg-amo,JMG AMO is a project management consulting company specializing in providing expertise for project realization.,privately held,""
MISE EN SCENE M2,m2-scene.com,Accessible Architecture and Design,"75014, PARIS, 75, France",1-10,https://www.linkedin.com/company/catherine-boisdon,,partnership,""
Virginie Pingeot,virginiepingeot.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/virginie-pingeot-architecture-int%c3%a9rieure,,self employed,""
Y agencement,yagencement.fr,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/y-agencement,,self employed,""
Les Plans Haum,lesplanshaum.com,Accessible Architecture and Design,"Québec, Canada",1-10,https://www.linkedin.com/company/les-plans-haum,,partnership,""
Crack Platoon,crackplatoonbd.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/crackplatoon,"Crack Platoon specializes in floor plan design, architectural visualization, 2D and 3D modeling, and walkthrough video animations.",self employed,""
Dinamizarte Infografía,dinamizarteinfografia.com,Accessible Architecture and Design,"Vigo, Spain",1-10,https://www.linkedin.com/company/dinamizarte-infograf%c3%ada,"Dinamizarte is a company that specializes in infographic design, 3D rendering, animations, and 3D characters.",,""
INC STUDIO SAS,incstudio.co,Accessible Architecture and Design,"Cajicá, Colombia",1-10,https://www.linkedin.com/company/inc-studio-sas,,privately held,""
Maison Galto,maisongalto.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/maison-galto,,partnership,""
A-ttrait,a-ttrait.com,Accessible Architecture and Design,"Aix-les-Bains, France",1-10,https://www.linkedin.com/company/a-ttrait,"Ttrait is a consulting firm that assists institutions and organizations in integrating the needs and aspirations of citizens, users, and beneficiaries into their projects, leveraging expertise in assistance to major public utilities.",non profit,""
Alstra,alstra-arch.com,Accessible Architecture and Design,"Marbella, Spain",1-10,https://www.linkedin.com/company/alstra-arch,Alstra is an architecture firm that focuses on creating innovative and impactful designs to drive progress for people and society.,privately held,""
ZBV-DESIGN,web-design-werbung-freiburg.de,Accessible Architecture and Design,"Teningen, Germany",1-10,https://www.linkedin.com/company/zbv-design,,partnership,""
JT Archi,jtarchi.com,Accessible Architecture and Design,"Dakar, Senegal",1-10,https://www.linkedin.com/company/jt-architectes-et-associes,,privately held,""
Asp-ir آمایش سرزمین پایدار,asp-ir.ir,Accessible Architecture and Design,Iran,1-10,https://www.linkedin.com/company/asp-ir,,non profit,""
Mirai Engineering,miraiengineering.ae,Accessible Architecture and Design,"Abu Dhabi, United Arab Emirates",11-50,https://www.linkedin.com/company/mirai-engineering,,partnership,""
Kreativ Signatur,kreativsignatur.no,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/kreativ-signatur,,self employed,""
Rendering,rendering.com.ar,Accessible Architecture and Design,"Quilmes, Argentina",1-10,https://www.linkedin.com/company/renderingargentina,,self owned,""
Arcus,arcus-gc.com,Accessible Architecture and Design,"Erbil, Iraq",1-10,https://www.linkedin.com/company/arcus-gc,,public company,""
PPF Conceptions,ppfconceptions.fr,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/ppf-conceptions,PPF Conceptions is a communication agency specializing in visual identity and a consultancy firm specialized in building permits.,privately held,""
Deks,deks.ua,Accessible Architecture and Design,,51-200,https://www.linkedin.com/company/deksua,"Deks is a retail company that offers a wide selection of furniture hardware, home goods, and kitchen products at the best prices.",privately held,""
Fuarist Fuar,fuaristfuar.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/fuarist-fuar,,privately held,""
Adjetivo Studio,studioadjetivo.com,Accessible Architecture and Design,"Barcelona, Spain",1-10,https://www.linkedin.com/company/studioadjetivo,,self owned,""
KultHome,kulthome.com,Accessible Architecture and Design,"Yerevan, Armenia",11-50,https://www.linkedin.com/company/kulthome,Kulthome is a home decor company that specializes in interior design and furniture.,privately held,""
LUMIOUS VISUAL,lumious.vn,Accessible Architecture and Design,"Ho Chi Minh City, Vietnam",11-50,https://www.linkedin.com/company/lumious-visual,,privately held,""
Wr Iron Works,wrironworks.us,Accessible Architecture and Design,"White Plains, New York, United States",1-10,https://www.linkedin.com/company/iron-works-ny,"Looking for top-quality iron works in your area? Wr Iron Works creates stunning modern railings, stainless steel designs, and more custom metalwork.",self owned,""
Alpbaugrupp,alpbaugrupp.ee,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/alpbau-grupp-estonia,,privately held,""
TEM Arquitectos,temarquitectos.pe,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/tem-arquitectos,"TEM Arquitectos is a Commercial Architecture company that specializes in designing and implementing stands for fairs using modular systems and MDF, as well as retail stores from design to supervision.",public company,""
Laurent Galle | Architect & Interior Designer | Dubai,laurentgalle.fr,Accessible Architecture and Design,"Dubai, United Arab Emirates",1-10,https://www.linkedin.com/company/laurent-galle-architect-designer,,privately held,""
UNE espacio abierto,uneespacioabierto.com.ar,Accessible Architecture and Design,"Posadas, Argentina",1-10,https://www.linkedin.com/company/une-espacio-abierto,,partnership,""
Renderock,renderock.com,Accessible Architecture and Design,"36528, US, United States",1-10,https://www.linkedin.com/company/renderock,"Our rendering services go beyond the ordinary, ensuring every detail is a masterpiece. Elevate your designs with us - where innovation meets visual brilliance.",privately held,""
Arkxell,arkxell.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/arkxell-projetos-arquitet%c3%b4nicos,ARKXELL is an architecture studio that focuses on creating innovative environments to enhance users' quality of life through functional reformulation.,self employed,""
Habiqo,habiqo.es,Accessible Architecture and Design,"Pamplona, Spain",1-10,https://www.linkedin.com/company/habiqo-arquitectura-y-construcci%c3%b3n,"HABIQO Arquitectura y Construcción is a company that specializes in architecture, interior design, and construction of spaces, focusing on technical accuracy, artistic expressiveness, and environmental respect in their projects.",self employed,""
KAAN STUDIO,kaan-studio.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/kaanstudio,,partnership,""
Agence Harmonita,harmonita.fr,Accessible Architecture and Design,"Lyon, France",1-10,https://www.linkedin.com/company/agenceharmonita,,self owned,""
El Buen Ojo,elbuenojo.com,Accessible Architecture and Design,Colombia,1-10,https://www.linkedin.com/company/el-buen-ojo,,self employed,""
Hoteles Móviles,hotelesmoviles.com,Accessible Architecture and Design,,11-50,https://www.linkedin.com/company/hoteles-m%c3%b3viles,"Hoteles Móviles is a construction company that specializes in designing and building mobile hotels, hospitals, offices, camps, and houses using repurposed shipping containers.",self owned,""
Bioconcreto_col,bioconcreto.co,Accessible Architecture and Design,Colombia,11-50,https://www.linkedin.com/company/biocncretosas,,privately held,""
MCM Engineering,mcmengineering.org,Accessible Architecture and Design,"San Bonifacio, Italy",1-10,https://www.linkedin.com/company/mcm-engineering,"MCM Engineering is a design company that specializes in home design, retail design and contract design for various types of structures.",partnership,""
Access Central,accesscentral.com.au,Accessible Architecture and Design,"Scoresby, Australia",1-10,https://www.linkedin.com/company/accesscentral,"Access Central is a disability access consulting firm that specializes in accessibility services, universal design, access audits, and expert witness statements for building codes compliance.",privately held,""
Emefe Soluções,emefesolucoes.com.br,Accessible Architecture and Design,"Belo Horizonte, Brazil",1-10,https://www.linkedin.com/company/emefe-solu%c3%a7%c3%b5es,,privately held,""
Aqua Spazio,aqua-spazio.co.uk,Accessible Architecture and Design,"London, United Kingdom",11-50,https://www.linkedin.com/company/aqua-spazio,"Discover Aqua Spazio, the premier swimming pool designer in London. Our turnkey solutions create stunning residential & commercial pools. Contact us to make your dream pool a reality",privately held,""
Fuori Bottega,fuoribottega.com,Accessible Architecture and Design,"Dueville, Italy",1-10,https://www.linkedin.com/company/fuori-bottega-s-r-l,Fuori Bottega is an artisanal outdoor furniture company that provides functional solutions with a passion for innovation and Italian design elegance.,privately held,""
3iD vision,3idvision.fr,Accessible Architecture and Design,"Paris, France",1-10,https://www.linkedin.com/company/3id-vision,,self employed,""
StudioX,studio-x.it,Accessible Architecture and Design,"United States, Michigan",1-10,https://www.linkedin.com/company/studio-x-italy,"Studio X is a design studio that offers artisanal, handcrafted furniture and art pieces made with resin, embodying Italian elegance.",partnership,""
Perched Architecture,perchedarchitecture.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/perched-architecture-llc,"Perched Architecture strives to create authentic spaces that inspire connection and harmony through nature with a dedication to craftsmanship, a reverence for tradition, and a deep-seated love for the Low Country, Perched Architecture was formed to shape the landscape of this cherished region, one bespoke design at a time.",privately held,""
Tipi.solutions,tipisolutions.com,Accessible Architecture and Design,"Barranquilla, Colombia",1-10,https://www.linkedin.com/company/tipisolutionscol,,self owned,""
Arquilúdica,arquiludica.com.ar,Accessible Architecture and Design,"Buenos Aires, Argentina",1-10,https://www.linkedin.com/company/arquiludica,,privately held,""
CavaArquitectos,cavaarquitectos.com,Accessible Architecture and Design,"Chía, Colombia",1-10,https://www.linkedin.com/company/cavaarquitectos,,self owned,""
Pixel Graph,pixelgraph.my,Accessible Architecture and Design,"Kuala Lumpur, Malaysia",11-50,https://www.linkedin.com/company/pixel-graph-sdn-bhd-183,"Pixel Graph is a creative production company. A community of diverse thinkers, storytellers, and leaders of immersive architecture and beyond.",self owned,""
MAQUETAS 3DBAROCIO,maquetas3dbarocio.com.mx,Accessible Architecture and Design,"Benito Juárez, Mexico",1-10,https://www.linkedin.com/company/maquetas-3dbarocio,,self owned,""
2FocusSolution,2focussolution.pt,Accessible Architecture and Design,"Algés, Portugal",1-10,https://www.linkedin.com/company/2focussolution,,partnership,""
Marvella Joyous Design Artistry,marvelladesign.in,Accessible Architecture and Design,"Vadodara, India",1-10,https://www.linkedin.com/company/marvella-joyous-design-artistry,,self employed,""
FloorPlans 2Go,floorplans2go.com,Accessible Architecture and Design,"Gilbert, Arizona, United States",1-10,https://www.linkedin.com/company/floorplans2go,,self owned,""
Designer Nordic,designernordic.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/designer-nordic,,self employed,""
Amiri Architects,amiriarchitects.com,Accessible Architecture and Design,"The Hague, Netherlands",1-10,https://www.linkedin.com/company/amiri-architects,,public company,""
SISPL India,sisplindia.com,Accessible Architecture and Design,"Delhi, India",1-10,https://www.linkedin.com/company/vipul-kumar-hr,SISPL India is a Steel and Power Plant consultancy that specializes in providing practical solutions for the Steel Industry and Furnace Erection.,self employed,""
Kreativan Design Studio,kreativandesignstudio.com,Accessible Architecture and Design,"Chandīgarh, India",11-50,https://www.linkedin.com/company/kreativan-design-studio,"Welcome to Kreativan Design Studio, where innovation meets tradition. We are dedicated to creating spaces that inspire, uplift, and stand the test of time.",self employed,""
Bio Studio,biostudio.arq.br,Accessible Architecture and Design,"São Paulo, Brazil",1-10,https://www.linkedin.com/company/bio-studio-arquitetura-consciente,,privately held,""
TONARTEC,tonartec.com,Accessible Architecture and Design,Australia,1-10,https://www.linkedin.com/company/tonartec,"TONARTEC is a company that offers technical solutions, engineering services, and consulting based on 52 years of combined experience.",self owned,""
ARQUIEXPRESS S,arquiexpress.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/arquiexpress-sac,ARQUIEXPRESS S is a company in the architecture and construction industry that provides design services.,privately held,""
Empresa Constructora Wozzby Srl - Ingenieria y Construccion,wozzby-bo.com,Accessible Architecture and Design,"La Paz, Bolivia",11-50,https://www.linkedin.com/company/empresa-constructora-wozzby-srl-ingenieria-y-construccion,,self owned,""
Sol Nova Art,solnovaart.com,Accessible Architecture and Design,"Vic, Spain",1-10,https://www.linkedin.com/company/sol-nova-art,"Sol Nova Art is an interior design company that focuses on creating healthy, vital, and balanced spaces through personalized advice.",self employed,""
Guemil,guemil.info,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/guemil-icons,,non profit,""
MGMaquetas,mgmaquetas.com.ar,Accessible Architecture and Design,"Rosário do Sul, Brazil",1-10,https://www.linkedin.com/company/mgmaquetas,,self owned,""
LESS IS MORE,lessismore-architecture.fr,Accessible Architecture and Design,"69300, Caluire-et-Cuire, Rhône, France",1-10,https://www.linkedin.com/company/less-is-more-architecture,,privately held,""
Agence Esmerae,esmerae.fr,Accessible Architecture and Design,"Rennes, France",1-10,https://www.linkedin.com/company/esmerae,"ESMERAE is an interior design agency that guides clients from conception to realization of unique spaces, focusing on renovations where aesthetics serve ergonomics and conviviality.",partnership,""
Bound Colombia,boundcolombia.com,Accessible Architecture and Design,"Bogotá, Colombia",11-50,https://www.linkedin.com/company/bound-colombia-sas,"Bound Colombia is a Architecture and Construction firm that specializes in Corporate, Logistics, Commercial, and Residential projects.",self owned,""
Dagad Art,dagadart.com,Accessible Architecture and Design,"Pune, India",1-10,https://www.linkedin.com/company/dagad-art-pvt-ltd,,privately held,""
Infinity Design and Architecture,infinitydesign.ae,Accessible Architecture and Design,"Dubai, United Arab Emirates",11-50,https://www.linkedin.com/company/infinity-design-and-architecture,,privately held,""
Wallboard,wallboard.com.br,Accessible Architecture and Design,"São Paulo, Brazil",51-200,https://www.linkedin.com/company/wallboard,"Wallboard Distribuição Brasil is a company in the construction materials industry that offers flexible natural marbleized wall coverings with UV gloss, providing affordable sophistication ideal for TV, clinics, and offices.",privately held,""
Stroph Architecture & Design,strophdesign.com,Accessible Architecture and Design,"Longueuil, Canada",1-10,https://www.linkedin.com/company/stroph-architecture-design,,self owned,""
Escuadra Muebles,escuadramuebles.cl,Accessible Architecture and Design,"Providencia, Colombia",1-10,https://www.linkedin.com/company/escuadramuebles,Escuadra Muebles is a company in the architecture and furniture design industry that focuses on materializing client's ideas with a focus on functionality and comfort.,self employed,""
Coworking Homey,coworkinghomey.com,Accessible Architecture and Design,"Palma, Spain",1-10,https://www.linkedin.com/company/coworkinghomey,,public company,""
Studio Desident,studiodesident.nl,Accessible Architecture and Design,"Utrecht, Netherlands",1-10,https://www.linkedin.com/company/studio-desident,Studio Desident is an architectural visualization company that provides impressive presentations and impressions for projects.,self owned,""
Solvo Constructora,solvoconstructora.com.pe,Accessible Architecture and Design,"Piura, Peru",1-10,https://www.linkedin.com/company/solvo-constructora,,privately held,""
45 GRADOS Arquitectura,45grados.cl,Accessible Architecture and Design,"Punta Arenas, Chile",11-50,https://www.linkedin.com/company/45-grados-arquitectura,,self owned,""
Home We Like,homewelike.com,Accessible Architecture and Design,"Saint-Martin-Lalande, France",1-10,https://www.linkedin.com/company/home-we-like,,self employed,""
Semaq mep,semaqmep.com,Accessible Architecture and Design,Israel,1-10,https://www.linkedin.com/company/semaq-mep,"mep Solutions Innovative solutions for electromechanical works our MEP services is the design, supply, installation, testing, and commissioning of MEP systems and equipment for all types of buildings DISCOVER MORE Contact Us Now 01556681163 Experienced Team An experienced team makes the difference in all work Learn More... Quality Materials We always ensure high quality materials",public company,""
Diametric Studio,diametricstudio.com,Accessible Architecture and Design,"Ghāziābād, India",51-200,https://www.linkedin.com/company/diametric-design-studio,Diametric Studio is an Architecture and Design Studio that emphasizes high detail orientation from concept design to construction.,self owned,""
Ginko Visuals,ginkovis.com,Accessible Architecture and Design,"Lviv, Ukraine",11-50,https://www.linkedin.com/company/ginkovis,"GINKO VISUALS is a property marketing agency that offers full-service focus on creating complex marketing for architecture, design, and properties.",privately held,""
Estúdio Cambará,estudiocambara.com.br,Accessible Architecture and Design,"São Paulo, Brazil",1-10,https://www.linkedin.com/company/estudiocambara,,self employed,""
Constructora Becerra,constructorabecerra.com,Accessible Architecture and Design,"Bogotá, Colombia",1-10,https://www.linkedin.com/company/constructora-becerra,,privately held,""
Riviera Lighting,rivieralighting.it,Accessible Architecture and Design,"Cattolica, Italy",1-10,https://www.linkedin.com/company/rivieralighting,,partnership,""
Altana Arquitectura,altanaarquitectura.com,Accessible Architecture and Design,"Potes, Spain",1-10,https://www.linkedin.com/company/altana-arquitectura,,self employed,""
AK Architekt,akarchitekt.com,Accessible Architecture and Design,"Szczecin, Poland",1-10,https://www.linkedin.com/company/ak-architekt,"AK Architekt is an architecture firm that specializes in multidisciplinary projects for residential, commercial, hotel, and industrial buildings, along with providing consulting services in architecture and building law.",self employed,""
Studio Flávia Marques Arquitetura e Interiores,flaviamarques.com,Accessible Architecture and Design,"São Paulo, Brazil",1-10,https://www.linkedin.com/company/studio-fl%c3%a1via-marques-arquitetura-e-interiores,Flávia Marques is an Interior Design company that focuses on creating organized and welcoming spaces that enhance emotional well-being through positive memories and experiences.,privately held,""
DISTO Industriebau LTD,disto-industriebau.com,Accessible Architecture and Design,"Varna, Bulgaria",1-10,https://www.linkedin.com/company/disto-industriebau-ltd,,self owned,""
Pyramid Glazing,pyramidglazing.com,Accessible Architecture and Design,"Chennai, India",51-200,https://www.linkedin.com/company/pyramid-glazing-cladding,Pyramid Glazing and Cladding is a construction company that specializes in architectural glazing and cladding installations with 17 years of expertise.,privately held,""
Fotolista,fotolista.com,Accessible Architecture and Design,"Madrid, Spain",1-10,https://www.linkedin.com/company/fotolista-com,"Fotolista is a company in the architecture visualization and interior design industry, specializing in real estate visualization, home staging, and online interior design projects.",privately held,""
Equinox Design,equinoxdesign.in,Accessible Architecture and Design,,11-50,https://www.linkedin.com/company/equinoxdesign-opc,Equinox Design is a boutique architecture and interior design studio focused on creating custom designs through a rigorous process.,privately held,""
Manufaktura Dostępności,manufakturadostepnosci.pl,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/manufaktura-dost%c4%99pno%c5%9bci,,self employed,""
Maison Stan et Clem - Home Design,maisonstanetclem.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/maison-stan-et-clem-home-design,,privately held,""
PNOE ATH,pnoe-ath.com,Accessible Architecture and Design,"Athens, Greece",1-10,https://www.linkedin.com/company/pnoe-architects,PNOE ATH is an Athens & Crete based studio offering architecture and design services of all scales to residential and commercial clients.,privately held,""
ArchObraz,arch-obraztsov.com,Accessible Architecture and Design,"Dnipro, Ukraine",11-50,https://www.linkedin.com/company/archobraz,,privately held,""
SpaceArc,spacearc.xyz,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/space-arc,,self employed,""
Arquivisual,arquivisual.com,Accessible Architecture and Design,,11-50,https://www.linkedin.com/company/arquivisualsac,,partnership,""
Accessible-Experience,accessible-experience.com,Accessible Architecture and Design,"Mars, Pennsylvania, United States",1-10,https://www.linkedin.com/company/accessible-user-experience,,non profit,""
Détail Corps,teamdetailcorps.com,Accessible Architecture and Design,"Bamako, Mali",11-50,https://www.linkedin.com/company/d%c3%a9tail-corps,"Détail Corps is a provider of architecture services that offers tailor-made solutions, innovative designs, and emphasizes the harmony between aesthetics and functionality.",privately held,""
Archi-Louidéales,archi-louideales.fr,Accessible Architecture and Design,France,1-10,https://www.linkedin.com/company/archi-louideales,"Archi is a company specializing in interior architecture, space design, and home decor with a focus on revealing the potential of living spaces for the well-being of residents.",self employed,""
TAEC PERÚ,taecperu.com,Accessible Architecture and Design,"Lima, Peru",1-10,https://www.linkedin.com/company/corporaci%c3%b3n-taec-dise%c3%b1os-en-arq-publicidad-e-i-r-l,,privately held,""
Grupo Ukrasa,grupoukrasa.com,Accessible Architecture and Design,"Bogotá, Colombia",11-50,https://www.linkedin.com/company/grupo-ukrasa,,self owned,""
PotShop Madrid,potshop.es,Accessible Architecture and Design,"Madrid, Spain",1-10,https://www.linkedin.com/company/potshop,"PotShop ♥ Green Passion is a horticulture business that specializes in vertical gardens, urban farming, and technical horticulture systems.",self owned,""
Aline Bianca Arquitetura e Interiores,alinebianca.com.br,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/aline-bianca-arquitetura-e-interiores,,self employed,""
Parkesco,parkesco.com.tr,Accessible Architecture and Design,"Istanbul, Türkiye",1-10,https://www.linkedin.com/company/parkes-floors-deco,"Parkesco is a company specializing in wood covering services for indoor and outdoor spaces, focusing on creating aesthetic and prestigious designs for business premises.",privately held,""
Disacc,disacc.es,Accessible Architecture and Design,Spain,1-10,https://www.linkedin.com/company/disacc-accesibilidad-sl,DISACC ACCESIBILIDAD is a company that specializes in the removal of architectural barriers and improving accessibility in homes.,privately held,""
Tetrastudio Architetti Associati,tetra-studio.it,Accessible Architecture and Design,"Turin, Italy",1-10,https://www.linkedin.com/company/tetrastudio-architetti-associati,,partnership,""
Cloud Fortress LLC,cloudfortress.ai,Accessible Architecture and Design,"Jessup, Pennsylvania, United States",11-50,https://www.linkedin.com/company/cloudfortress,,privately held,""
OIC Design,oicdesign.studio,Accessible Architecture and Design,"Surry Hills, Australia",1-10,https://www.linkedin.com/company/oic-design,"OIC Design is an interior & building design firm that brings homes and commercial spaces to life by employing color, material, and form in unexpected ways.",privately held,""
Art Waves Interiors,artwavestec.com,Accessible Architecture and Design,"Musaffah, United Arab Emirates",11-50,https://www.linkedin.com/company/artwaves-design-technical-works-uae,Art Waves Technical Works is an interior design company that offers professional interior and exterior design services as well as fit-out services in Dubai and Abu Dhabi.,privately held,""
Gautsni design crafts,gautsni.com,Accessible Architecture and Design,"12911 Dungan Ln, 92840, Garden Grove, California, United States",11-50,https://www.linkedin.com/company/gautsni-design-crafts,,self owned,""
UBECUS,ubecus.com,Accessible Architecture and Design,"Thiès, Senegal",1-10,https://www.linkedin.com/company/ubecus,,self owned,""
Jambeiro Arquitetura,jambeiroarquitetura.com.br,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/jambeiro-arquitetura,,privately held,""
Dekoor Horeca,dekoorhoreca.com,Accessible Architecture and Design,"Somma Vesuviana, Italy",1-10,https://www.linkedin.com/company/dekoor-horeca,,self owned,""
Viltopdemuur,viltopdemuur.nl,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/viltopdemuur-nl,,partnership,""
Malins Group,malins-group.pp.ua,Accessible Architecture and Design,Ukraine,1-10,https://www.linkedin.com/company/malins-group,,privately held,""
Colado,colado.art.br,Accessible Architecture and Design,"São Paulo, Brazil",1-10,https://www.linkedin.com/company/colado-art,"Colado is an art studio that offers original art prints and collaboratively creates decorative art pieces such as lambe-lambes for domestic, commercial, or collaborative spaces.",public company,""
ArchExperts,archexperts.com,Accessible Architecture and Design,"Neuss, Germany",1-10,https://www.linkedin.com/company/archexperts,"ArchExperts is an online platform that connects clients and architectural experts such as architects, designers, and engineers. Get jobs done fast, collaborate on the project online in a professional manner. Have peace of mind through a milestone-based assignment of work packages.",privately held,""
Sbam Project,sbam-project.com,Accessible Architecture and Design,"Milan, Italy",1-10,https://www.linkedin.com/company/sbamproject,,partnership,""
